id,review,prob
16047,"For all of us American Deneuve fans, this little gem is a little tough to get ahold of. Fortunately, I found myself so wrapped up in the short bits that I saw previewed on youtube.com that I was willing to go to any lengths. I found it on ebay.com, ordered it directly from France, and changed my laptop so it would play Region 2 DVDs. Let me tell you that it was well worth it. Be warned - there are NO subtitles (unforunately, Pathe shouldn't have released this on DVD, Koch Lorber should've - they're good about the subtitles). I don't speak a word of French. I can utter a syllable here and there, order a drink and whatnot. That having been said, this film was a treat anyway. I couldn't fully appreciate the supposed \bawdy\"" humor or the witty dialogue. Watching Deneuve and her cohorts was enough for me. I understood what was going on without need of the dialogue. It really says something about a film when those who can't speak the language enjoy it. <br /><br />The cinematography is wonderful. London is adorable as the smitten son-on-law. Loved the lesbian Mom. And, of course, what can I possibly say about our dear Mademoiselle Deneuve. She is one of a kind. Those eyes, that smile. I could watch her films all day. She really goes beyond beauty. People always say she's gorgeous. Well, yes, she is. But she is also VERY talented. I believed her every second of the way. Her conversation about chocolate and vanilla with London is too sweet. Her character even gets arrested for smoking dope with some 15 year old in the street. NOT TO BE MISSED! Fly to France and buy this if you have to. Great. 10""",0.999411632301164
41567,"First off, I must say that I made the mistake of watching the Election films out of sequence. I say unfortunately, because after seeing Election 2 first, Election seems a bit of a disappointment. Both films are gangster epics that are similar in form. And while Election is an enjoyable piece of cinema... it's just not nearly as good as it's sequel.<br /><br />In the first Election installment, we are shown the two competitors for Chairman; Big D and Lok. After a few scenes of discussion amongst the \Uncle's\"" as to who should have the Chairman title, they (almost unanimously) decide That Lok (Simon Yam) will helm the Triads. Suffice to say this doesn't go over very well with competitor Big D (Tony Leung Ka Fai) and in a bid to influence the takeover, Big D kidnaps two of the uncles in order to sway the election board to his side. This has disastrous results and heads the triads into an all out war. Lok is determined to become Chairman but won't become official until he can recover the \""Dragon Head Baton\"", a material representation of the Chairman's power. The current Chairman, Whistle (Chung Wang) has hidden the baton somewhere in mainland China and the race is on to see who can recover it first.<br /><br />Much of the film is devoted to the recovery of the Baton. As both aspiring leaders search for it they must dodge cops and opposite sides, which leads into one of the stand out scenes in Election, which involves an underling named Jet (Nick Cheung), a machete, and lots of bad guys. Nick Cheung's presence is attention grabbing to say the least... I wonder if this influenced director Johhnie To in any way while making the second Election, as he does deliver more of Jet's character in the sequel.<br /><br />While Nick Cheung gives a scene stealing performance, I must not fail to give due to the rest of the film's actors. Election has a great ensemble cast with well thought out performances that are both subtle and impacting. Simon Yam is his usually glorious self and the film also benefits from heavyweight HK actors like Louis Koo, Tony Leung Ka Fai, and the under-appreciated Suet Lam. There really aren't any weak links in the acting and one could easily believe that they're watching real gangsters.<br /><br />Although the performances are great, one of the most impressive things about Election is Johnnie To's eye for the camera. There are some truly striking shots in the film and it goes without saying that To definitely knows how to frame his shots, as the viewer is treated to a series of innovative and quite brilliant camera placings and angles. All of which makes Election, above all, a great looking film.<br /><br />My issues with the film arises mostly out of the shear amount of characters involved in Election. It gets a bit hard to follow because the film is so full of characters that aren't integral to the plot. While the sequel opts to focus more on the two candidates, the first Election offers the election process as a whole with tons of Uncles, underlings, and police officers crowding the storyline. Maybe the film would have worked better if it would have been a bit longer with more time dedicated to the inner workings of the Triad, or if Director Johnnie To would have funneled down the necessary elements and expounded on them more. <br /><br />Bottom Line- All in all, this is a wonderfully brutal film with a great cast, excellent direction, and leisurely pacing that packs a punch. It's just a little more complicated than it needed to be.""",0.9894962331200404
21988,"NVA combines eastalgia-humor, military comedy and teen movie. Although it is somehow typically German-movie-like sentimental, I think it's a great and very funny movie. You will not only laugh in NVA but also get a bit of an insight in the Eastern Germany armed forces of the late 1980ies and how the young recruits as well as the professional soldiers experienced the fall of the Berlin Wall and the end of the German Democratic Republic.<br /><br />You will enjoy NVA if you liked Sonnenallee (another movie directed by Leander Haußmann), but not necessarily if you enjoyed Good Bye Lenin which is much more serious and less obviously funny.<br /><br />The acting is acceptable. But watch for former boy band singer Kim Frank who has only two facial expressions: natural and shocked saucer-eyed!",0.9404233741409596
48828,"Allow yourself to be transported to a different, old school kind of storytelling. Scoop is classic Woody Allen.<br /><br />Allen's latest muse, Scarlett Johansson (who also appeared in last year's Match Point, also by Allen), is surprisingly able to tone down her sultry sex kitten appeal and transform into a normal looking student-type with the aid of nerdish glasses and outfits but still fails to make the audience believe how Hugh Jackman's lordly character can be so smitten by her, given the royal's background (don't worry, no spoilers here). There are no grand transformations for Johansson's character here, as she consistently plays the same character throughout despite the script saying otherwise. You even forgive her character's apparent lack of logic, continuing an affair with a suspected serial killer, simply because he is His Royal Hotness Jackman, who is refreshing to see sans the Wolverine duds.<br /><br />If anything, consistency is what the 70-year old Allen is all about. He continues to tell his stories on celluloid in the same way he always has; as if he's never been exposed to modern film-making, which is probably what makes his quiet, simple films appealing. They never seem to aim for a specific market; as if Allen makes movies to his taste alone, whether the public likes it or not.",0.9668126630363426
26982,"Indian Summer! It was very nostalgic for me. I found it funny, heartwarming, and absolutely loved it! Anyone who went to camp as a kid and wishes at times they could go back to the \good Ole' days\"" for a brief time really needs to see this one! It starts out as 20 years later, a group of old campers returns for a \""reunion\"". I won't comment on the plot anymore cause you have to see it for yourself. The actors were great, and it contains an all star cast. Everyone in it played a terrific role. You actually felt like you were a part of the movie watching it. Alan Arkin was especially good in his role as Uncle Lou. He plays the kind of guy that everyone wishes they had in their lives. This is also a good family movie for the most part. I would suggest this one to anybody in a heartbeat! HIGHLY Recommended!""",0.9985794353425048
4970,"Alright lets break it down. Why is this one of the worst films ever? Because there are so many answers to that question I'm having a headache. Come on...Cracker World? Mr. Honkee? The part with the Arab guy? its just awful, i didn't really care about the whole white racism crap, but when they did that thing with the Arab guy, i wanted to get the names of all the writers. Its really not worth watching 3 seconds of this movie. It isn't even funny-bad which was my first interpretation. I hope the person who directed this movie doesn't commit suicide, but it seems likely, i don't see any other options.Don't EVER watch this movie, if you watch it, u cant say u died with no regrets.",0.00040767758714055623
1210,"What a shocker. For starters, I couldn't stand the constant screaming and noisy panicking all the time. It didn't make me scared, horrified, or make me sympathetic towards the characters; it was simply annoying. The jerky camera movements were also annoying. The plot was the same as pretty much every other cheap horror. There was a few pathetic attempts to give the characters some depth, but it didn't really work into the rest of the plot. And then there's the ending. I'm still not really sure what to make of it. I guess it was supposed to be clever twist, then shed some light on the situation, but it was just stupid.<br /><br />The case had a couple of those little award winner/nominations symbols on it, so I figured it couldn't be too bad. I was wrong. If you see it, you should probably just leave it on the shelf.",0.0003891421623945
34357,"Mark Hamill should have felt mighty embarrassed with CORVETTE SUMMER! This time, he uses a new kind of \force\"" to regain the possession of his dream machine, a bright red 'Vette. It looks like another sour teen-age flick the first half-hour and does a U-turn in heading for the wrong direction. The writing and directing jobs are dreadfully done, with a few scenes you can't hardly take. You're expecting this to happen anyway, and you're also sniffing the smell of late-70s hodgepodge. Only a former newcomer like Annie Potts would easily steal the show and save this poor movie from the repo creeps! Her impractical but delightful personality holds on to your interest for good, and this is the finest chance to see her in a swimsuit. Hooray for Annie! Sorry, Mark! I guess the Force wasn't with you this time around.""",0.0161808897312597
17732,"Today I had a real craving for a sci-fi movie and so I decided to check out Battlespace. Sadly, that was one of my biggest mistakes this year.<br /><br />I see that the director, Neil Johnson, has directed over 500 music videos, and I suggest he goes back to that. Music videos are a perfectly good form of entertainment, and not everybody can cut it making movies.<br /><br />The worst part of this movie is probably the voice over. And that says a lot since the special effects are appalling at times. Voice over didn't work in Blade Runner, and it doesn't work here. The first hour or so is spent watching the main character walk through the desert, while her daughter tells the story. I think the story could have made a great movie, but not like this.<br /><br />The second worst part are the effects. They are simply bad and they don't blend into the rest of the picture at all, so you simply don't believe in them. And absolutely all the frames in the movie has been filtered, and not in a good way. Filtering used as an effect is good. 90 minutes of it, bad.<br /><br />And what is it with all the gadgets talking all the time, and not shutting up!?!? If I had used technology like that I would have gone mad. I was just waiting for the guns to blurt out with: \I am awfully sorry, but I seem to have run out of ammunition.\"" No, stay away. This movie is just not worth the time.""",0.0003058768501301134
2360,"Well, first of all, excuse me for the lame pun in the title. I was browsing for movies to rent the other day and saw this. I heard something about this so I picked it up and looked on the back and there was a short little review blurb on it from John Fallon AKA Arrow in the Head! At that moment I thought \Well if he likes it then I gotta like it!\"" So I rented it and just finally got around to watching it last night (college keeps me so busy). Oh and I might wanna add that I read a little of Arrow's review and it turns out that out of 4 stars he gave it 1 and a half. So my expectations from this movie went from very high to iffy. Well after watching this, I once again agree with Arrow (and turns out that quote from the review was the only positive thing he said about that!) Wow, did this film stink or what? Where do I begin with why it did so? Well, the film was so dull in my opinion. Not even the cool gore bits excited me and when a decapitation doesn't excite you in a movie, that's bad! The characters I hated a lot and from the beginning I could tell who would die and who wouldn't. Actually the film proved me wrong at some points, but the worst thing is that one particular character I wanted to die didn't! What the heck? And the chemistry between the main girl and the guy she met? Didn't feel it. He obviously was just there to be eye candy and give her a love interest, otherwise I thought he was a waste! And as a horror fan I should know that doing the \""dumb horror movie\"" sometimes gotta happen or else there wouldn't be much of a movie, but the ones in here ticked me off! Hello? Why are you making out in the room of the killer nun when you should be on the lookout from her? And it was done by the supposedly smarter characters no less. The twist....ah, it would have been alright, if it hadn't been done a billion times and I didn't have to sit through this wast of film to reach that point! My main point: Stupid movie that sucked me in with some words of my favorite (actually my only favorite) movie critic. Jerks!""",0.0006631117039128916
